ID,Title,Author,Publication Date,Language,LoC Class,Subjects,Link
1228,On the Origin of Species By Means of Natural Selection by Charles Darwin (107),"Darwin, Charles, 1809-1882","Mar 1, 1998",English,QH: Science: Natural history,"Evolution (Biology), Natural selection",https://www.gutenberg.org/ebooks/1228
25305,Memoirs of Fanny Hill by John Cleland (107),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/25305
512,Mosses from an old manse by Nathaniel Hawthorne (107),"Hawthorne, Nathaniel, 1804-1864","Apr 1, 1996",English,PS: Language and Literatures: American and Canadian literature,"Short stories, American, New England -- Social life and customs -- Fiction",https://www.gutenberg.org/ebooks/512
766,David Copperfield by Charles Dickens (105),"Dickens, Charles, 1812-1870","Dec 1, 1996",English,PR: Language and Literatures: English literature,"Orphans -- Fiction, Autobiographical fiction, England -- Fiction, Bildungsromans, Young men -- Fiction, Boys -- Fiction, Stepfathers -- Fiction, Child labor -- Fiction",https://www.gutenberg.org/ebooks/766
1514,A Midsummer Night's Dream by William Shakespeare (105),"Shakespeare, William, 1564-1616","Nov 1, 1998",English,PR: Language and Literatures: English literature,"Comedies, Courtship -- Drama, Athens (Greece) -- Drama, Fairy plays",https://www.gutenberg.org/ebooks/1514
40682,"Lulu's Library, Volume 1 (of 3) (104)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/40682
815,Democracy in America — Volume 1 by Alexis de Tocqueville (104),"Tocqueville, Alexis de, 1805-1859","Jan 21, 2006",English,JK: Political science: Political inst. and pub. Admin.: United States,"United States -- Politics and government, United States -- Social conditions, Democracy -- United States",https://www.gutenberg.org/ebooks/815
21700,Don Juan by Baron George Gordon Byron Byron (104),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/21700
70114,The Big Four by Agatha Christie (103),"Christie, Agatha, 1890-1976","Feb 23, 2023",English,PR: Language and Literatures: English literature,"Private investigators -- England -- Fiction, Detective and mystery stories, English, Murder -- Investigation -- Fiction, Poirot, Hercule (Fictitious character) -- Fiction, Mystery fiction, Secret societies -- Fiction",https://www.gutenberg.org/ebooks/70114
4517,Ethan Frome by Edith Wharton (103),"Wharton, Edith, 1862-1937","Oct 1, 2003",English,PS: Language and Literatures: American and Canadian literature,"Domestic fiction, New England -- Fiction, Married people -- Fiction, Triangles (Interpersonal relations) -- Fiction, Accident victims -- Fiction, Rural poor -- Fiction",https://www.gutenberg.org/ebooks/4517
2,The United States Bill of Rights by United States (102),United States,"Dec 1, 1972",English,JK: Political science: Political inst. and pub. Admin.: United States,"Civil rights -- United States -- Sources, United States. Constitution. 1st-10th Amendments",https://www.gutenberg.org/ebooks/2
519,A Kidnapped Santa Claus by L. Frank  Baum (102),"Baum, L. Frank (Lyman Frank), 1856-1919","May 1, 1996",English,PZ: Language and Literatures: Juvenile belles lettres,"Fantasy literature, Christmas stories, Santa Claus -- Juvenile fiction",https://www.gutenberg.org/ebooks/519
20738,Diccionario Ingles-Español-Tagalog by Sofronio G. Calderón (102),"Calderón, Sofronio G., 1878-1954?","Mar 4, 2007",English,"PL: Language and Literatures: Languages and literatures of Eastern Asia, Africa, Oceania","English language -- Dictionaries -- Spanish, English language -- Dictionaries -- Tagalog, English language -- Dictionaries -- Polyglot",https://www.gutenberg.org/ebooks/20738
2707,The History of Herodotus — Volume 1 by Herodotus (101),"Herodotus, 480? BCE-420? BCE","Jul 1, 2001",English,D: History: General and Eastern Hemisphere,"History, Ancient, Greece -- History -- To 146 B.C.",https://www.gutenberg.org/ebooks/2707
11231,"Bartleby, the Scrivener: A Story of Wall-Street by Herman Melville (101)","Melville, Herman, 1819-1891","Feb 1, 2004",English,PS: Language and Literatures: American and Canadian literature,"New York (N.Y.) -- Fiction, Psychological fiction, Young men -- Fiction, Wall Street (New York, N.Y.) -- Fiction, Copyists -- Fiction",https://www.gutenberg.org/ebooks/11231
72277,Thunder in space by Lester Del Rey (101),"Del Rey, Lester, 1915-1993","Dec 1, 2023",English,PS: Language and Literatures: American and Canadian literature,"Science fiction, Space stations -- Fiction, Weapons -- Fiction, Cold War -- Fiction",https://www.gutenberg.org/ebooks/72277
5230,The Invisible Man: A Grotesque Romance by H. G.  Wells (100),"Wells, H. G. (Herbert George), 1866-1946","Mar 1, 2004",English,PR: Language and Literatures: English literature,"Science fiction, Psychological fiction, Scientists -- Fiction, Mentally ill -- Fiction",https://www.gutenberg.org/ebooks/5230
16643,Essays by Ralph Waldo Emerson by Ralph Waldo Emerson (100),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/16643
22367,Die Verwandlung by Franz Kafka (100),"Kafka, Franz, 1883-1924","Aug 21, 2007",German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures","Psychological fiction, Metamorphosis -- Fiction",https://www.gutenberg.org/ebooks/22367
72287,The history of a tame robin by Anonymous (99),Anonymous,"Dec 2, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72287
45109,The Enchiridion by Epictetus (99),"Epictetus, 55-135","Mar 10, 2014",English,"B: Philosophy, Psychology, Religion","Conduct of life -- Early works to 1800, Ethics, Ancient",https://www.gutenberg.org/ebooks/45109
994,Riders to the Sea by J. M.  Synge (99),"Synge, J. M. (John Millington), 1871-1909","Jul 1, 1997",English,PR: Language and Literatures: English literature,"Ireland -- Drama, Mothers and sons -- Drama, Drowning victims -- Drama, Seafaring life -- Drama",https://www.gutenberg.org/ebooks/994
9662,An Enquiry Concerning Human Understanding by David Hume (98),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/9662
67138,The Sun Also Rises by Ernest Hemingway (98),"Hemingway, Ernest, 1899-1961","Jan 10, 2022",English,PS: Language and Literatures: American and Canadian literature,"Americans -- France -- Fiction, Americans -- Spain -- Fiction, Ashley, Brett (Fictitious character) -- Fiction, Expatriation -- Fiction, Spain -- History -- Alfonso XIII, 1886-1931 -- Fiction",https://www.gutenberg.org/ebooks/67138
27673,Oedipus King of Thebes by Sophocles (98),"Sophocles, 495? BCE-406 BCE","Dec 31, 2008",English,PA: Language and Literatures: Classical Languages and Literature,"Tragedies, Oedipus (Greek mythological figure) -- Drama",https://www.gutenberg.org/ebooks/27673
27761,"Hamlet, Prince of Denmark by William Shakespeare (98)","Shakespeare, William, 1564-1616","Jan 10, 2009",English,PR: Language and Literatures: English literature,"Tragedies, Hamlet (Legendary character) -- Drama, Kings and rulers -- Succession -- Drama, Murder victims' families -- Drama, Fathers -- Death -- Drama, Revenge -- Drama, Princes -- Drama, Denmark -- Drama",https://www.gutenberg.org/ebooks/27761
8578,The Grand Inquisitor by Fyodor Dostoyevsky (97),"Dostoyevsky, Fyodor, 1821-1881","Jul 1, 2005",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Jesus Christ -- Fiction, Christian fiction",https://www.gutenberg.org/ebooks/8578
72278,The warriors by Tom Purdom (95),"Purdom, Tom, 1936-","Dec 1, 2023",English,PS: Language and Literatures: American and Canadian literature,"Science fiction, Short stories, Soldiers -- Fiction, Battles -- Fiction, Nonviolence -- Fiction",https://www.gutenberg.org/ebooks/72278
2781,Just So Stories by Rudyard Kipling (95),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/2781
921,De Profundis by Oscar Wilde (95),"Wilde, Oscar, 1854-1900","May 1, 1997",English,PR: Language and Literatures: English literature,"Wilde, Oscar, 1854-1900, Suffering, Grief, Imprisonment",https://www.gutenberg.org/ebooks/921
11339,Aesop's Fables; a new translation by Aesop (95),"Aesop, 620? BCE-564? BCE","Feb 1, 2004",English,PA: Language and Literatures: Classical Languages and Literature,"Fables, Greek -- Translations into English",https://www.gutenberg.org/ebooks/11339
3420,A Vindication of the Rights of Woman by Mary Wollstonecraft (94),"Wollstonecraft, Mary, 1759-1797","Sep 1, 2002",English,"HQ: Social sciences: The family, Marriage, Sex and Gender","Feminism, Women's rights -- Great Britain, Women -- Education -- Great Britain, Women -- History -- 19th century",https://www.gutenberg.org/ebooks/3420
34206,"The Thousand and One Nights, Vol. I. (94)",Unknown,"Nov 3, 2010",English,PJ: Language and Literatures: Oriental languages and literatures,"Fairy tales, Tales -- Arab countries",https://www.gutenberg.org/ebooks/34206
1974,The Poetics of Aristotle by Aristotle (94),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1974
147,Common Sense by Thomas Paine (94),"Paine, Thomas, 1737-1809","Jul 1, 1994",English,E201: History: America: Revolution (1775-1783),"United States -- Politics and government -- 1775-1783, Political science -- Early works to 1800, Monarchy -- Early works to 1800",https://www.gutenberg.org/ebooks/147
2527,The Sorrows of Young Werther by Johann Wolfgang von Goethe (93),"Goethe, Johann Wolfgang von, 1749-1832","Feb 1, 2001",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures","Germany -- Social life and customs -- Fiction, Unrequited love -- Fiction, Young men -- Germany -- Fiction",https://www.gutenberg.org/ebooks/2527
41360,The Elementary Forms of the Religious Life by Émile Durkheim (93),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/41360
15474,"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1 (92)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/15474
21765,"The Metamorphoses of Ovid, Books I-VII by Ovid (91)","Ovid, 43 BCE-18?","Jun 8, 2007",English,PA: Language and Literatures: Classical Languages and Literature,"Classical literature, Latin poetry -- Translations into English, Fables, Latin -- Translations into English, Metamorphosis -- Mythology -- Poetry, Mythology, Classical -- Poetry",https://www.gutenberg.org/ebooks/21765
1,The Declaration of Independence of the United States of America by Thomas Jefferson (91),"Jefferson, Thomas, 1743-1826","Dec 1, 1971",English,E201: History: America: Revolution (1775-1783),"United States -- History -- Revolution, 1775-1783 -- Sources, United States. Declaration of Independence",https://www.gutenberg.org/ebooks/1
110,Tess of the d'Urbervilles: A Pure Woman by Thomas Hardy (91),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/110
159,The island of Doctor Moreau by H. G.  Wells (91),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/159
816,Democracy in America — Volume 2 by Alexis de Tocqueville (90),"Tocqueville, Alexis de, 1805-1859","Jan 21, 2006",English,JK: Political science: Political inst. and pub. Admin.: United States,"United States -- Politics and government, United States -- Social conditions, Democracy -- United States",https://www.gutenberg.org/ebooks/816
72281,Memoirs of William Wordsworth by George S.  Phillips (90),"Phillips, George S. (George Searle), 1815-1889","Dec 2, 2023",English,PR: Language and Literatures: English literature,"Poets, English -- 19th century -- Biography, Wordsworth, William, 1770-1850",https://www.gutenberg.org/ebooks/72281
16119,Doctrina Christiana (90),Unknown,"Jun 23, 2005",English,"PL: Language and Literatures: Languages and literatures of Eastern Asia, Africa, Oceania","Tagalog language -- Texts, Catholic Church -- Catechisms -- Tagalog, Catholic Church -- Catechisms -- Spanish, Block books -- Facsimiles",https://www.gutenberg.org/ebooks/16119
19322,The Antichrist by Friedrich Wilhelm Nietzsche (90),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/19322
25141,The Pursuit of God by A. W.  Tozer (89),"Tozer, A. W. (Aiden Wilson), 1897-1963","Apr 23, 2008",English,"BV: Philosophy, Psychology, Religion: Christianity: Practical theology, Worship","God (Christianity) -- Worship and love, Spirituality",https://www.gutenberg.org/ebooks/25141
40986,"The Oera Linda Book, from a Manuscript of the Thirteenth Century (89)",Unknown,"Oct 8, 2012",English,PF: Language and Literatures: West Germanic,Frisian language -- Texts,https://www.gutenberg.org/ebooks/40986
8117,The Possessed (The Devils) by Fyodor Dostoyevsky (89),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/8117
10625,A Concise Dictionary of Middle English from A.D. 1150 to 1580 by A. L.  Mayhew and Walter W.  Skeat (88),"Mayhew, A. L. (Anthony Lawson), 1842-1916","Jan 1, 2004",English,PE: Language and Literatures: English,"English language -- Middle English, 1100-1500 -- Dictionaries",https://www.gutenberg.org/ebooks/10625
834,The Memoirs of Sherlock Holmes by Arthur Conan Doyle (88),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/834
16966,"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth by A. C.  Bradley (87)","Bradley, A. C. (Andrew Cecil), 1851-1935","Oct 30, 2005",English,PR: Language and Literatures: English literature,"Shakespeare, William, 1564-1616 -- Tragedies",https://www.gutenberg.org/ebooks/16966
61262,Poirot Investigates by Agatha Christie (87),"Christie, Agatha, 1890-1976","Jan 28, 2020",English,PR: Language and Literatures: English literature,"Private investigators -- England -- Fiction, Detective and mystery stories, English, Belgians -- England -- Fiction, Poirot, Hercule (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/61262
9105,Reflections; or Sentences and Moral Maxims by François duc de La Rochefoucauld (87),"La Rochefoucauld, François duc de, 1613-1680","Oct 1, 2005",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",Maxims,https://www.gutenberg.org/ebooks/9105
45631,Twelve Years a Slave by Solomon Northup (87),"Northup, Solomon, 1808-1863?","May 11, 2014",English,E300: History: America: Revolution to the Civil War (1783-1861),"African Americans -- Biography, Enslaved persons -- United States -- Biography, Enslaved persons' writings, American, Northup, Solomon, 1808-1863?, Plantation life -- Louisiana -- History -- 19th century, Slavery -- Louisiana -- History -- 19th century",https://www.gutenberg.org/ebooks/45631
1754,The Sea-Gull by Anton Pavlovich Chekhov (87),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1754
45304,"The City of God, Volume I by Bishop of Hippo Saint Augustine (87)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/45304
14155,Madame Bovary by Gustave Flaubert (87),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/14155
55317,The Meditations of the Emperor Marcus Aurelius Antoninus by Emperor of Rome Marcus Aurelius (86),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/55317
14568,Sir Gawayne and the Green Knight (86),Unknown,"Jan 3, 2005",English,PR: Language and Literatures: English literature,"Arthurian romances, Gawain (Legendary character) -- Romances",https://www.gutenberg.org/ebooks/14568
1257,The three musketeers by Alexandre Dumas and Auguste Maquet (86),"Dumas, Alexandre, 1802-1870","Mar 1, 1998",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Historical fiction, France -- History -- Louis XIII, 1610-1643 -- Fiction, Adventure and adventurers -- Fiction, Swordsmen -- Fiction",https://www.gutenberg.org/ebooks/1257
2232,The Duchess of Malfi by John Webster (86),"Webster, John, 1580?-1625?","Jun 1, 2000",English,PR: Language and Literatures: English literature,"Tragedies, English drama -- 17th century, Siblings -- Drama, Retribution -- Drama",https://www.gutenberg.org/ebooks/2232
289,The Wind in the Willows by Kenneth Grahame (86),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/289
5739,Korean—English Dictionary by Leon Kuperman (86),"Kuperman, Leon","May 1, 2004",English,"PL: Language and Literatures: Languages and literatures of Eastern Asia, Africa, Oceania",Korean language -- Dictionaries -- English,https://www.gutenberg.org/ebooks/5739
38956,"Argentine Ornithology, Volume 1 (of 2) by W. H.  Hudson and Philip Lutley Sclater (85)","Hudson, W. H. (William Henry), 1841-1922","Feb 25, 2012",English,QL: Science: Zoology,Birds -- Argentina,https://www.gutenberg.org/ebooks/38956
36098,The Flowers of Evil by Charles Baudelaire (85),"Baudelaire, Charles, 1821-1867","May 13, 2011",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",French poetry -- Translations into English,https://www.gutenberg.org/ebooks/36098
541,The Age of Innocence by Edith Wharton (84),"Wharton, Edith, 1862-1937","May 1, 1996",English,PS: Language and Literatures: American and Canadian literature,"New York (N.Y.) -- Fiction, Love stories, Domestic fiction, Married people -- Fiction, Triangles (Interpersonal relations) -- Fiction, Separated people -- Fiction, Upper class -- Fiction",https://www.gutenberg.org/ebooks/541
20,Paradise Lost by John Milton (84),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/20
72280,Gem of neatness : by Madeline Leslie (84),"Leslie, Madeline, 1815-1893","Dec 2, 2023",English,PZ: Language and Literatures: Juvenile belles lettres,"Christian life -- Juvenile fiction, Children's stories, Girls -- Conduct of life -- Juvenile fiction, Orderliness -- Religious aspects -- Christianity -- Juvenile fiction, Sanitation -- Religious aspects -- Juvenile fiction",https://www.gutenberg.org/ebooks/72280
375,An Occurrence at Owl Creek Bridge by Ambrose Bierce (84),"Bierce, Ambrose, 1842-1914?","Dec 1, 1995",English,PS: Language and Literatures: American and Canadian literature,"Short stories, United States -- History -- Civil War, 1861-1865 -- Fiction, Prisoners -- Fiction",https://www.gutenberg.org/ebooks/375
416,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life by Sherwood Anderson (84)","Anderson, Sherwood, 1876-1941","Feb 1, 1996",English,PS: Language and Literatures: American and Canadian literature,"City and town life -- Fiction, Pastoral fiction, Ohio -- Social life and customs -- Fiction",https://www.gutenberg.org/ebooks/416
2446,An Enemy of the People by Henrik Ibsen (83),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/2446
18398,Diary Written in the Provincial Lunatic Asylum by Mary Huestis Pengilly (83),"Pengilly, Mary Huestis","May 16, 2006",English,RC: Medicine: Internal medicine,"Provincial Lunatic Asylum (N.B.), Mentally ill -- Care -- New Brunswick",https://www.gutenberg.org/ebooks/18398
35123,"The Ladies' Book of Etiquette, and Manual of Politeness by Florence Hartley (83)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/35123
49965,Dao De Jing: A Minimalist Translation by Laozi (82),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/49965
2850,"The Wars of the Jews; Or, The History of the Destruction of Jerusalem by Flavius Josephus (82)","Josephus, Flavius, 38?-100?","Oct 1, 2001",English,DS: History: General and Eastern Hemisphere: Asia,Jews -- History,https://www.gutenberg.org/ebooks/2850
52263,"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist by Nietzsche (82)","Nietzsche, Friedrich Wilhelm, 1844-1900","Jun 7, 2016",English,"B: Philosophy, Psychology, Religion",Philosophy,https://www.gutenberg.org/ebooks/52263
1200,Gargantua and Pantagruel by François Rabelais (82),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1200
5225,The Satyricon — Complete by Petronius Arbiter (82),"Petronius Arbiter, 20-66","Jun 1, 2004",English,PA: Language and Literatures: Classical Languages and Literature,"Rome -- Fiction, Satire, Latin -- Translations into English",https://www.gutenberg.org/ebooks/5225
376,A Journal of the Plague Year by Daniel Defoe (82),"Defoe, Daniel, 1661?-1731","Jan 16, 2006",English,PR: Language and Literatures: English literature,"Historical fiction, Great Fire, London, England, 1666 -- Fiction, Plague -- Fiction, London (England) -- History -- 17th century -- Fiction",https://www.gutenberg.org/ebooks/376
13437,Best Russian Short Stories (81),Unknown,"Sep 11, 2004",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Short stories, Russian -- Translations into English",https://www.gutenberg.org/ebooks/13437
21279,2 B R 0 2 B by Kurt Vonnegut (81),"Vonnegut, Kurt, 1922-2007","May 3, 2007",English,PS: Language and Literatures: American and Canadian literature,"Science fiction, Short stories",https://www.gutenberg.org/ebooks/21279
140,The Jungle by Upton Sinclair (81),"Sinclair, Upton, 1878-1968","Mar 11, 2006",English,PS: Language and Literatures: American and Canadian literature,"Meat industry and trade -- Fiction, Working class -- Fiction, Political fiction, Lithuanian Americans -- Fiction, Stockyards -- Fiction, Immigrants -- Fiction, Chicago (Ill.) -- Fiction",https://www.gutenberg.org/ebooks/140
15250,Myths and Legends of China by E. T. C.  Werner (80),"Werner, E. T. C. (Edward Theodore Chalmers), 1864-1954","Mar 4, 2005",English,"GR: Geography, Anthropology, Recreation: Folklore","Tales -- China, Mythology, Chinese, Legends -- China",https://www.gutenberg.org/ebooks/15250
5720,A Shropshire Lad by A. E.  Housman (80),"Housman, A. E. (Alfred Edward), 1859-1936","May 1, 2004",English,PR: Language and Literatures: English literature,Shropshire (England) -- Poetry,https://www.gutenberg.org/ebooks/5720
22400,Fox's Book of Martyrs by John Foxe (80),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/22400
113,The Secret Garden by Frances Hodgson Burnett (79),"Burnett, Frances Hodgson, 1849-1924","Mar 1, 1994",English,PZ: Language and Literatures: Juvenile belles lettres,"Orphans -- Juvenile fiction, People with disabilities -- Juvenile fiction, Gardens -- Juvenile fiction, Yorkshire (England) -- Juvenile fiction",https://www.gutenberg.org/ebooks/113
38269,A History of the Philippines by David P. Barrows (79),"Barrows, David P., 1873-1954","Dec 11, 2011",English,DS: History: General and Eastern Hemisphere: Asia,Philippines -- History,https://www.gutenberg.org/ebooks/38269
2610,Notre-Dame de Paris by Victor Hugo (79),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/2610
14838,The Tale of Peter Rabbit by Beatrix Potter (79),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/14838
4276,North and South by Elizabeth Cleghorn Gaskell (79),"Gaskell, Elizabeth Cleghorn, 1810-1865","Jul 1, 2003",English,PR: Language and Literatures: English literature,"Didactic fiction, Young women -- Fiction, Bildungsromans, Mothers and daughters -- Fiction, Children of clergy -- Fiction, Social classes -- Fiction, England, Northern -- Fiction",https://www.gutenberg.org/ebooks/4276
45502,How the Other Half Lives: Studies Among the Tenements of New York by Jacob A.  Riis (79),"Riis, Jacob A. (Jacob August), 1849-1914","Apr 26, 2014",English,"HV: Social sciences: Social pathology, Social and Public Welfare","Poor -- New York (State) -- New York, Tenement houses -- New York (State) -- New York",https://www.gutenberg.org/ebooks/45502
17116,"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan by José Rizal (78)","Rizal, José, 1861-1896","Nov 20, 2005",Tagalog,DS: History: General and Eastern Hemisphere: Asia,"Rizal, José, 1861-1896 -- Correspondence",https://www.gutenberg.org/ebooks/17116
175,The Phantom of the Opera by Gaston Leroux (78),"Leroux, Gaston, 1868-1927","Oct 1, 1994",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Horror tales, Musical fiction, Opera -- Fiction, Paris (France) -- Fiction, Composers -- Fiction, Phantom of the Opera (Fictitious character) -- Fiction, French fiction -- Translations into English",https://www.gutenberg.org/ebooks/175
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences (78),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/59
876,"Life in the Iron-Mills; Or, The Korl Woman by Rebecca Harding Davis (78)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/876
38769,A Course of Pure Mathematics by G. H.  Hardy (78),"Hardy, G. H. (Godfrey Harold), 1877-1947","Feb 5, 2012",English,QA: Science: Mathematics,"Functions, Calculus",https://www.gutenberg.org/ebooks/38769
2388,"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata) (78)",Unknown,"Nov 1, 2000",English,"BL: Philosophy, Psychology, Religion: Religion: General, Miscellaneous and Atheism","Epic poetry, Sanskrit poetry -- Translations into English, Hinduism -- Sacred books",https://www.gutenberg.org/ebooks/2388
4093,Hedda Gabler by Henrik Ibsen (77),"Ibsen, Henrik, 1828-1906","May 1, 2003",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures","Man-woman relationships -- Drama, Women -- Social conditions -- Drama, Identity (Psychology) -- Drama, Norwegian drama -- Translations into English",https://www.gutenberg.org/ebooks/4093
72268,"Legends of Old Testament characters, from the Talmud and other sources by S.  Baring-Gould (77)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/72268
1533,Macbeth by William Shakespeare (77),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1533
50922,Perpetual Peace: A Philosophical Essay by Immanuel Kant (77),"Kant, Immanuel, 1724-1804","Jan 14, 2016",English,JX: Political science: International law,Peace,https://www.gutenberg.org/ebooks/50922
1322,Leaves of Grass by Walt Whitman (77),"Whitman, Walt, 1819-1892","May 1, 1998",English,PS: Language and Literatures: American and Canadian literature,American poetry -- 19th century,https://www.gutenberg.org/ebooks/1322
50742,"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose (76)",Unknown,"Dec 21, 2015",English,PR: Language and Literatures: English literature,"Monsters -- Fiction, Heroes -- Fiction, Beowulf -- Adaptations, Epic poetry, English (Old) -- Adaptations",https://www.gutenberg.org/ebooks/50742
7524,The Germany and the Agricola of Tacitus by Cornelius Tacitus (76),"Tacitus, Cornelius, 56-117","Feb 1, 2005",English,PA: Language and Literatures: Classical Languages and Literature,"Agricola, Gnaeus Julius, 40-93, Germanic peoples -- Early works to 1800, Statesmen -- Rome -- Biography -- Early works to 1800",https://www.gutenberg.org/ebooks/7524
13415,The Lady with the Dog and Other Stories by Anton Pavlovich Chekhov (75),"Chekhov, Anton Pavlovich, 1860-1904","Sep 9, 2004",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Russia -- Social life and customs -- Fiction, Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English",https://www.gutenberg.org/ebooks/13415
22120,"Chaucer's Works, Volume 4 — The Canterbury Tales by Geoffrey Chaucer (75)","Chaucer, Geoffrey, 1343?-1400","Jul 22, 2007",Middle English,PR: Language and Literatures: English literature,Christian pilgrims and pilgrimages -- Poetry,https://www.gutenberg.org/ebooks/22120
26471,Spoon River Anthology by Edgar Lee Masters (75),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/26471
58866,The Murder on the Links by Agatha Christie (75),"Christie, Agatha, 1890-1976","Feb 11, 2019",English,PR: Language and Literatures: English literature,"Private investigators -- England -- Fiction, Detective and mystery stories, Poirot, Hercule (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/58866
26225,Fifteen Thousand Useful Phrases by Grenville Kleiser (75),"Kleiser, Grenville, 1868-1953","Aug 1, 2008",English,PE: Language and Literatures: English,English language -- Terms and phrases,https://www.gutenberg.org/ebooks/26225
6087,The Vampyre; a Tale by John William Polidori (74),"Polidori, John William, 1795-1821","Jul 1, 2004",English,PR: Language and Literatures: English literature,"Horror tales, Gothic fiction, Vampires -- Fiction",https://www.gutenberg.org/ebooks/6087
1091,"On Heroes, Hero-Worship, and the Heroic in History by Thomas Carlyle (74)","Carlyle, Thomas, 1795-1881","Nov 1, 1997",English,PR: Language and Literatures: English literature,"Heroes, Hero worship",https://www.gutenberg.org/ebooks/1091
14328,The Consolation of Philosophy by Boethius (74),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/14328
45315,The Marriage of Heaven and Hell by William Blake (74),"Blake, William, 1757-1827","Apr 4, 2014",English,PR: Language and Literatures: English literature,"Mysticism, Hell, Heaven",https://www.gutenberg.org/ebooks/45315
23962,西遊記 by Cheng'en Wu (74),"Wu, Cheng'en, 1500?-1582?","Dec 22, 2007",Chinese,"PL: Language and Literatures: Languages and literatures of Eastern Asia, Africa, Oceania","Folklore -- China, Legends -- China, Xuanzang, approximately 596-664 -- Fiction, Chinese fiction -- Ming dynasty, 1368-1644",https://www.gutenberg.org/ebooks/23962
21076,The First Six Books of the Elements of Euclid by John Casey and Euclid (73),"Casey, John, 1820-1891","Apr 14, 2007",English,QA: Science: Mathematics,"Euclid's Elements, Mathematics, Greek",https://www.gutenberg.org/ebooks/21076
