ID,Title,Author,Publication,Language,Link
2000,Don Quijote by Miguel de Cervantes Saavedra (383),69 by Miguel de Cervantes Saavedra,"Dec 1, 1999",Unknown,https://www.gutenberg.org/ebooks/2000
35,The Time Machine by H. G.  Wells (382),123 by H. G. Wells,"Oct 2, 2004",Unknown,https://www.gutenberg.org/ebooks/35
5740,Tractatus Logico-Philosophicus by Ludwig Wittgenstein (370),"Wittgenstein, Ludwig, 1889-1951","Oct 22, 2010",Unknown,https://www.gutenberg.org/ebooks/5740
120,Treasure Island by Robert Louis Stevenson (370),123 by Robert Louis Stevenson,"Feb 26, 2006",Unknown,https://www.gutenberg.org/ebooks/120
2852,The Hound of the Baskervilles by Arthur Conan Doyle (369),154 by Arthur Conan Doyle,"Oct 1, 2001",Unknown,https://www.gutenberg.org/ebooks/2852
16,Peter Pan by J. M.  Barrie (367),43 by J. M. Barrie,"Jun 25, 2008",Unknown,https://www.gutenberg.org/ebooks/16
30254,The Romance of Lust: A classic Victorian erotic novel by Anonymous (360),910 by Anonymous,"Oct 14, 2009",Unknown,https://www.gutenberg.org/ebooks/30254
74,"The Adventures of Tom Sawyer, Complete by Mark Twain (355)",253 by Mark Twain,"Jul 1, 2004",Unknown,https://www.gutenberg.org/ebooks/74
11030,"Incidents in the Life of a Slave Girl, Written by Herself by Harriet A.  Jacobs (349)","Jacobs, Harriet A. (Harriet Ann), 1813-1897","Feb 1, 2004",Unknown,https://www.gutenberg.org/ebooks/11030
3207,Leviathan by Thomas Hobbes (347),3 by Thomas Hobbes,"May 1, 2002",Unknown,https://www.gutenberg.org/ebooks/3207
72108,Theaetetus by Plato (347),70 by Plato,"Nov 12, 2023",Unknown,https://www.gutenberg.org/ebooks/72108
2600,War and Peace by graf Leo Tolstoy (346),100 by graf Leo Tolstoy,"Apr 1, 2001",Unknown,https://www.gutenberg.org/ebooks/2600
16328,Beowulf: An Anglo-Saxon Epic Poem (343),"Hall, J. Lesslie (John Lesslie), 1856-1928","Jul 19, 2005",Unknown,https://www.gutenberg.org/ebooks/16328
41445,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (339)",28 by Mary Wollstonecraft Shelley,"Nov 23, 2012",Unknown,https://www.gutenberg.org/ebooks/41445
72115,Dogs as home companions : by Albert Frederick Hochwalt (337),"Hochwalt, A. F. (Albert Frederick), 1869-1938","Nov 13, 2023",Unknown,https://www.gutenberg.org/ebooks/72115
1998,Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche (337),43 by Friedrich Wilhelm Nietzsche,"Dec 1, 1999",Unknown,https://www.gutenberg.org/ebooks/1998
4363,Beyond Good and Evil by Friedrich Wilhelm Nietzsche (336),43 by Friedrich Wilhelm Nietzsche,"Aug 1, 2003",Unknown,https://www.gutenberg.org/ebooks/4363
600,Notes from the Underground by Fyodor Dostoyevsky (329),48 by Fyodor Dostoyevsky,"Jul 1, 1996",Unknown,https://www.gutenberg.org/ebooks/600
7370,Second Treatise of Government by John Locke (329),4 by John Locke,"Jan 1, 2005",Unknown,https://www.gutenberg.org/ebooks/7370
996,Don Quixote by Miguel de Cervantes Saavedra (320),69 by Miguel de Cervantes Saavedra,"Jul 27, 2004",Unknown,https://www.gutenberg.org/ebooks/996
67098,Winnie-the-Pooh by A. A.  Milne (317),22 by A. A. Milne,"Jan 3, 2022",Unknown,https://www.gutenberg.org/ebooks/67098
42324,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (316)",28 by Mary Wollstonecraft Shelley,"Mar 13, 2013",Unknown,https://www.gutenberg.org/ebooks/42324
2680,Meditations by Emperor of Rome Marcus Aurelius (316),6 by Emperor of Rome Marcus Aurelius,"Jun 1, 2001",Unknown,https://www.gutenberg.org/ebooks/2680
